contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TSLA280616C00005000,2026-02-23 20:55:00+00:00,5.0,393.6,385.35,388.9,0.0,0.0,12.0,1556,1.8125009374999999,True,REGULAR,USD,call
TSLA280616C00010000,2026-01-22 19:37:02+00:00,10.0,439.05,381.0,388.8,0.0,0.0,18.0,58,1.5854512915039058,True,REGULAR,USD,call
TSLA280616C00015000,2025-12-23 20:29:24+00:00,15.0,473.3,418.55,426.5,0.0,0.0,29.0,29,0.0,True,REGULAR,USD,call
TSLA280616C00020000,2025-12-11 14:32:07+00:00,20.0,423.95,414.45,422.45,0.0,0.0,8.0,9,0.0,True,REGULAR,USD,call
TSLA280616C00025000,2025-12-19 19:04:25+00:00,25.0,466.65,410.05,418.0,0.0,0.0,7.0,8,0.0,True,REGULAR,USD,call
TSLA280616C00030000,2026-01-21 20:08:08+00:00,30.0,407.76,363.05,371.05,0.0,0.0,90.0,93,1.1602825189208985,True,REGULAR,USD,call
TSLA280616C00035000,2026-01-09 19:45:10+00:00,35.0,414.0,388.0,398.0,0.0,0.0,,0,0.0,True,REGULAR,USD,call
TSLA280616C00040000,2026-01-07 19:59:19+00:00,40.0,403.63,384.0,394.0,0.0,0.0,4.0,2,2.857913011474609,True,REGULAR,USD,call
TSLA280616C00045000,2026-02-05 16:26:11+00:00,45.0,357.25,350.0,357.8,0.0,0.0,4.0,10,1.0371141894531253,True,REGULAR,USD,call
TSLA280616C00050000,2026-02-05 19:09:06+00:00,50.0,355.53,345.45,353.4,0.0,0.0,1.0,5,1.0015919061279297,True,REGULAR,USD,call
TSLA280616C00055000,2025-12-04 15:48:41+00:00,55.0,404.55,387.35,395.3,0.0,0.0,,170,3.5048840502929686,True,REGULAR,USD,call
TSLA280616C00060000,2025-12-17 20:58:16+00:00,60.0,417.86,379.7,387.65,0.0,0.0,245.0,280,2.459598577575684,True,REGULAR,USD,call
TSLA280616C00065000,2026-01-15 16:37:53+00:00,65.0,386.5,332.45,340.45,0.0,0.0,1.0,489,0.92773509765625,True,REGULAR,USD,call
TSLA280616C00085000,2025-12-16 20:01:15+00:00,85.0,415.1,359.4,367.0,0.0,0.0,1.0,26,1.7838755923461913,True,REGULAR,USD,call
TSLA280616C00090000,2025-12-16 15:32:38+00:00,90.0,400.65,354.25,366.15,0.0,0.0,8.0,77,1.7356580599975584,True,REGULAR,USD,call
TSLA280616C00095000,2025-12-26 15:52:46+00:00,95.0,399.4,350.15,359.0,0.0,0.0,2.0,49,1.6337298587036133,True,REGULAR,USD,call
TSLA280616C00100000,2026-03-02 14:59:13+00:00,100.0,310.9,303.0,310.95,0.0,0.0,2.0,142,0.8138446350097657,True,REGULAR,USD,call
TSLA280616C00110000,2026-01-08 15:41:13+00:00,110.0,344.25,327.7,332.75,0.0,0.0,10.0,14,1.275180626068115,True,REGULAR,USD,call
TSLA280616C00120000,2026-03-02 15:28:31+00:00,120.0,295.75,288.4,292.6,0.0,0.0,2.0,9,0.7654137228393555,True,REGULAR,USD,call
TSLA280616C00130000,2026-01-16 20:35:26+00:00,130.0,331.51,281.0,284.95,0.0,0.0,3.0,22,0.7524743991088867,True,REGULAR,USD,call
TSLA280616C00140000,2026-03-02 14:49:42+00:00,140.0,274.5,273.8,276.5,-5.220001,-1.8661523,1.0,11,0.7349269671630858,True,REGULAR,USD,call
TSLA280616C00150000,2026-02-27 18:55:44+00:00,150.0,273.0,265.65,268.5,0.0,0.0,3.0,73,0.7145109115600586,True,REGULAR,USD,call
TSLA280616C00160000,2026-03-02 20:02:37+00:00,160.0,269.1,258.85,261.1,0.0,0.0,2.0,36,0.70527943649292,True,REGULAR,USD,call
TSLA280616C00170000,2026-03-02 20:02:52+00:00,170.0,261.65,251.45,253.65,0.0,0.0,10.0,115,0.6918365777587892,True,REGULAR,USD,call
TSLA280616C00180000,2026-03-03 14:32:03+00:00,180.0,246.95,244.2,246.4,-7.350006,-2.8902895,3.0,114,0.6797975135803225,True,REGULAR,USD,call
TSLA280616C00190000,2026-03-02 20:02:58+00:00,190.0,247.15,237.1,239.35,0.0,0.0,16.0,59,0.6689486230468751,True,REGULAR,USD,call
TSLA280616C00200000,2026-02-26 16:37:01+00:00,200.0,246.72,230.3,232.3,0.0,0.0,1.0,171,0.658908440246582,True,REGULAR,USD,call
TSLA280616C00210000,2026-03-02 20:02:48+00:00,210.0,233.55,223.45,225.7,0.0,0.0,2.0,67,0.6499821379089354,True,REGULAR,USD,call
TSLA280616C00220000,2026-03-02 20:02:40+00:00,220.0,227.15,217.15,218.85,0.0,0.0,5.0,76,0.641650922393799,True,REGULAR,USD,call
TSLA280616C00230000,2026-03-03 14:58:26+00:00,230.0,210.3,210.75,212.45,-15.25,-6.76125,1.0,45,0.6340368627929689,True,REGULAR,USD,call
TSLA280616C00240000,2026-02-27 16:41:56+00:00,240.0,213.95,204.5,206.25,0.0,0.0,1.0,88,0.627078924560547,True,REGULAR,USD,call
TSLA280616C00250000,2026-02-26 20:37:07+00:00,250.0,214.2,198.5,200.2,0.0,0.0,1.0,335,0.6208534008789064,True,REGULAR,USD,call
TSLA280616C00260000,2026-03-03 17:56:52+00:00,260.0,192.45,192.55,194.35,-15.020004,-7.239603,7.0,123,0.6148262394714354,True,REGULAR,USD,call
TSLA280616C00270000,2026-03-03 16:47:23+00:00,270.0,188.6,186.8,188.7,-12.899994,-6.4019823,3.0,145,0.6094551994323731,True,REGULAR,USD,call
TSLA280616C00280000,2026-03-02 17:45:21+00:00,280.0,189.65,181.25,183.2,0.0,0.0,2.0,92,0.6045266598510745,True,REGULAR,USD,call
